session_day,time_utc,time_local,bar_idx_in_day,action,current_position,close,spread,raw_pnl,transaction_cost,net_pnl,mtm_pnl,equity,forced_close
2024-12-20,2024-12-20 11:19:00+00:00,2024-12-20 18:19:00+07:00,559,0,-1,1.03843,17,-22.999999999995246,0.0,-22.999999999995246,-22.999999999995246,9618.000000000004,False
2024-12-20,2024-12-20 11:20:00+00:00,2024-12-20 18:20:00+07:00,560,0,-1,1.03839,17,4.000000000004,0.0,4.000000000004,4.000000000004,9622.000000000007,False
2024-12-20,2024-12-20 11:21:00+00:00,2024-12-20 18:21:00+07:00,561,0,-1,1.0383,17,8.999999999992347,0.0,8.999999999992347,8.999999999992347,9631.0,False
2024-12-20,2024-12-20 11:22:00+00:00,2024-12-20 18:22:00+07:00,562,0,-1,1.03816,20,14.000000000002899,0.0,14.000000000002899,14.000000000002899,9645.000000000004,False
2024-12-20,2024-12-20 11:23:00+00:00,2024-12-20 18:23:00+07:00,563,0,-1,1.03806,18,9.999999999998899,0.0,9.999999999998899,9.999999999998899,9655.000000000002,False
2024-12-20,2024-12-20 11:24:00+00:00,2024-12-20 18:24:00+07:00,564,0,-1,1.03783,19,22.999999999995246,0.0,22.999999999995246,22.999999999995246,9677.999999999996,False
2024-12-20,2024-12-20 11:25:00+00:00,2024-12-20 18:25:00+07:00,565,0,-1,1.03785,19,-1.999999999990898,0.0,-1.999999999990898,-1.999999999990898,9676.000000000005,False
2024-12-20,2024-12-20 11:26:00+00:00,2024-12-20 18:26:00+07:00,566,0,-1,1.03787,17,-2.0000000000131024,0.0,-2.0000000000131024,-2.0000000000131024,9673.999999999993,False
2024-12-20,2024-12-20 11:27:00+00:00,2024-12-20 18:27:00+07:00,567,0,-1,1.03795,18,-7.999999999985796,0.0,-7.999999999985796,-7.999999999985796,9666.000000000007,False
2024-12-20,2024-12-20 11:28:00+00:00,2024-12-20 18:28:00+07:00,568,0,-1,1.03805,18,-9.999999999998899,0.0,-9.999999999998899,-9.999999999998899,9656.00000000001,False
2024-12-20,2024-12-20 11:29:00+00:00,2024-12-20 18:29:00+07:00,569,0,-1,1.03817,18,-12.000000000012001,0.0,-12.000000000012001,-12.000000000012001,9643.999999999996,False
