number,value,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
20,-13.195991267713461,2.3979212664447235e-05,0.9169217563112344,0.987060960271107,2.8218335384875342e-05,65,0.8882893401167047,0.9564285714285714,-5635.999999999939,-1.5537433680487274,616,optuna_a2c_t020,-1.5635999999999939,14924.0,0.2519893899204244,COMPLETE,2026-05-15 10:36:43.858964,2026-05-15 10:38:26.864221
21,-67.54525635529791,0.00013483960413971486,0.9368066952009063,0.9667362827560945,0.00011710404122321817,14,0.5540282882176477,0.9697023809523809,-29327.999999999567,-4.317271801832356,2065,optuna_a2c_t021,-3.9327999999999563,45883.0,0.1696969696969697,COMPLETE,2026-05-15 10:38:26.875227,2026-05-15 10:40:22.958967
22,-78.65563533860333,0.00019949455399498493,0.9251563731447481,0.9488420308925267,8.607848697254688e-05,33,0.26316167625250436,0.7649702380952381,-38741.99999999956,-5.485065987497061,2624,optuna_a2c_t022,-4.874199999999957,54573.0,0.12255257432922408,COMPLETE,2026-05-15 10:40:23.098885,2026-05-15 10:42:11.511325
23,-27.323219316742257,0.0008250116829601433,0.961262750264487,0.9737573515696702,0.00028076158645564184,13,0.4415145059632182,0.7185119047619047,-18945.00000000059,-3.014568268821832,1311,optuna_a2c_t023,-2.894500000000059,26172.0,0.14977307110438728,COMPLETE,2026-05-15 10:42:11.523336,2026-05-15 10:44:03.943592
24,-32.240988288776634,0.00018335961627352764,0.9178396240200323,0.9984935314215917,0.0010674067045324655,73,0.5907797591882014,0.07821428571428571,-13930.000000000304,-2.5210744704084185,1225,optuna_a2c_t024,-2.3930000000000304,25027.0,0.04574132492113565,COMPLETE,2026-05-15 10:44:03.954616,2026-05-15 10:45:46.153733
25,-82.85118341868171,3.89227960514815e-05,0.9374735083093876,0.9837975390378997,0.004338009669786159,54,0.7161745161873116,0.46089285714285716,-94938.00000000057,-12.792075518569328,5018,optuna_a2c_t025,-10.493800000000057,100755.0,0.05741250491545419,COMPLETE,2026-05-15 10:45:46.169896,2026-05-15 10:47:29.159612
26,-27.527559682067377,0.001410168972740906,0.9815536154586357,0.9675164456054979,2.6080133988987214e-05,12,0.9007195975152157,0.3616666666666667,-23444.000000000084,-3.781680113906049,1737,optuna_a2c_t026,-3.3444000000000087,35429.0,0.15666666666666668,COMPLETE,2026-05-15 10:47:29.172640,2026-05-15 10:49:24.688793
27,-2.187899036894623,0.00013822943038989413,0.9158805310594623,0.960544860724635,0.00014937349991237846,30,0.8213253187900392,0.32377976190476193,8732.999999999962,-0.1687134502923999,123,optuna_a2c_t027,-0.1267000000000038,2495.0,0.4126984126984127,COMPLETE,2026-05-15 10:49:24.702789,2026-05-15 10:51:11.625084
28,-27.76887225370307,0.0005131060080091656,0.8874150715242086,0.9389521053956795,0.00012684117188820952,39,0.8546842339550078,0.3368452380952381,-8085.9999999999245,-1.8723702664796542,987,optuna_a2c_t028,-1.8085999999999924,20246.0,0.2109375,COMPLETE,2026-05-15 10:51:11.639072,2026-05-15 10:52:58.434385
29,-18.974212732498398,3.62916228281236e-06,0.8672215910315113,0.9570282853941399,0.000143520878176274,100,0.7723788394698248,0.9676785714285714,-4830.999999999907,-1.5115417196103267,852,optuna_a2c_t029,-1.4830999999999908,17068.0,0.39675174013921116,COMPLETE,2026-05-15 10:52:58.447382,2026-05-15 10:54:38.667626
30,-102.02566987514463,2.460797155453623e-05,0.8865265017401791,0.9468051706703989,0.000476236480359299,55,0.7187684061521202,0.538779761904762,-42206.99999999956,-5.815951620264647,2890,optuna_a2c_t030,-5.220699999999956,57527.0,0.05024088093599449,COMPLETE,2026-05-15 10:54:38.680619,2026-05-15 10:56:21.677899
31,-18.32300060212175,0.0001131507839302695,0.9135563341964882,0.9688322398888688,7.195516286074977e-05,16,0.21096447288353812,0.225,-57.00000000002481,-1.0060936497754998,653,optuna_a2c_t031,-1.0057000000000025,12989.0,0.23708206686930092,COMPLETE,2026-05-15 10:56:21.688894,2026-05-15 10:58:12.118746
32,-12.753632111629225,0.00024962124099197616,0.9422173483333527,0.96190533872952,0.00017829969290080735,28,0.8072918693479498,0.9624107142857142,126.00000000012935,-0.9865398995833641,643,optuna_a2c_t032,-0.9873999999999871,15568.0,0.4137055837563452,COMPLETE,2026-05-15 10:58:12.135743,2026-05-15 10:59:59.508145
33,-19.102238960005817,0.0006970016665198813,0.9302071712332223,0.9781495415893792,4.3757593774016414e-05,9,0.6058544101406367,0.22732142857142856,-1692.0000000000869,-1.1757191816388086,496,optuna_a2c_t033,-1.1692000000000087,10113.0,0.19140625,COMPLETE,2026-05-15 10:59:59.521143,2026-05-15 11:02:00.087444
34,-67.20857608699944,0.0031257568307435017,0.8975127897738885,0.9520902213850683,2.0489550133615332e-05,21,0.30428629638796756,0.5155654761904762,-31201.99999999999,-4.502694207453984,2234,optuna_a2c_t034,-4.120199999999999,44289.0,0.08221626452189455,COMPLETE,2026-05-15 11:02:00.100437,2026-05-15 11:03:48.911487
35,-77.22206733125822,8.600107634726893e-05,0.9575801561016931,0.9723310929636887,8.26690575053819e-05,33,0.6903229195962602,0.8649107142857143,-39163.99999999958,-5.536020384526272,2798,optuna_a2c_t035,-4.916399999999958,57011.0,0.10617626648161,COMPLETE,2026-05-15 11:03:48.925513,2026-05-15 11:05:36.966661
36,-11.767530530243484,0.0003215885992401562,0.9192265162641654,0.9608930248341553,0.00032864576575023587,17,0.990582377628739,0.042738095238095235,-2763.999999999991,-1.281180061037639,724,optuna_a2c_t036,-1.276399999999999,15908.0,0.1417910447761194,COMPLETE,2026-05-15 11:05:36.980656,2026-05-15 11:07:26.071254
37,-3.993587800742093,8.44351754546194e-06,0.9080550323450005,0.9635124728887194,0.00010390328277554771,84,0.9184615013068957,0.961220238095238,6602.000000000176,-0.405966656917214,155,optuna_a2c_t037,-0.33979999999998234,3110.0,0.3291139240506329,COMPLETE,2026-05-15 11:07:26.083297,2026-05-15 11:09:09.222161
