number,value,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
21,-13.562988827673854,128,0.12262329284769413,0.001659104490891538,0.9224524212132319,0.9480758024440976,0.00013950903205632638,18,512,0.815656505725992,0.5650595238095238,5455.999999999956,-0.4266498528793661,265,optuna_ppo_t021,-0.45440000000000436,4995.0,0.3475177304964539,COMPLETE,2026-05-13 10:52:05.082528,2026-05-13 10:53:41.783469
22,-4.695581572768217,128,0.14886701468366995,0.006205756752182129,0.9583744467969116,0.9375195867562416,0.00014032511254162373,19,512,0.8346595967990471,0.987202380952381,8188.999999999957,-0.2094796795057468,68,optuna_ppo_t022,-0.18110000000000429,1191.0,0.35294117647058826,COMPLETE,2026-05-13 10:53:41.796469,2026-05-13 10:55:17.108162
23,-12.510462926572638,128,0.15565811105470412,0.004224815506560883,0.9646343858014008,0.9382824446132398,0.00030874740191695475,15,512,0.7266103707053859,0.949047619047619,5769.999999999928,-0.3893533707270716,270,optuna_ppo_t023,-0.4230000000000072,4958.0,0.31690140845070425,COMPLETE,2026-05-13 10:55:17.121137,2026-05-13 10:56:45.745577
24,-3.1534067646088144,128,0.09927448191687349,0.026083108671148714,0.9956665330849495,0.9221058144889251,9.517082490416369e-05,18,512,0.8475419143807092,0.9927380952380952,8531.999999999953,-0.27621309806583244,54,optuna_ppo_t024,-0.14680000000000473,1027.0,0.3448275862068966,COMPLETE,2026-05-13 10:56:45.761081,2026-05-13 10:58:19.211812
25,-15.923568590132533,64,0.15068986282790822,0.03149356059801496,0.9968878209930554,0.9168259703394873,2.5618951204233354e-05,19,512,0.8998161393425761,0.7585119047619048,3085.99999999979,-0.6908853381569844,453,optuna_ppo_t025,-0.691400000000021,8482.0,0.29045643153526973,COMPLETE,2026-05-13 10:58:19.358438,2026-05-13 11:00:18.898422
26,-12.365577242575826,128,0.07537783790620753,0.032682218319837385,0.981991562699836,0.9332217708639071,8.729537849877733e-05,18,512,0.6633412177131646,0.6208333333333333,3382.000000000096,-0.651735145711041,197,optuna_ppo_t026,-0.6617999999999904,4216.0,0.3025210084033613,COMPLETE,2026-05-13 11:00:18.913591,2026-05-13 11:01:50.900735
27,-4.858765560365966,128,0.10768917118058528,0.014573147633658756,0.954798014026827,0.9208312309502175,1.3009844961810566e-05,13,512,0.5044314796739295,0.9800595238095238,8124.999999999995,-0.2013172122284493,49,optuna_ppo_t027,-0.18750000000000044,888.0,0.36,COMPLETE,2026-05-13 11:01:50.912741,2026-05-13 11:03:19.826789
28,-56.995231324745866,128,0.14265101993163776,0.0007244852041823928,0.8764865906043059,0.933628542848211,5.396853471353683e-05,4,256,0.8084103029087137,0.6420833333333333,-15873.000000000287,-2.8921206341638137,1396,optuna_ppo_t028,-2.587300000000029,26402.0,0.1527027027027027,COMPLETE,2026-05-13 11:03:19.838819,2026-05-13 11:04:43.981351
29,-37.216815587703444,128,0.3730112876781713,0.020398078414785536,0.9997816515824702,0.9110345616127542,0.00010396609145305974,16,1024,0.3064985137063605,0.6105952380952381,-6231.000000000093,-1.6986209216279924,923,optuna_ppo_t029,-1.6231000000000093,16593.0,0.20905172413793102,COMPLETE,2026-05-13 11:04:43.995352,2026-05-13 11:06:14.162523
30,-32.92427646286791,128,0.2564906784453625,0.007618795674282302,0.9197675740149178,0.9256491726359688,0.0006403067271899229,19,512,0.6882910577947919,0.6863095238095238,-11315.999999999562,-2.343464323875047,779,optuna_ppo_t030,-2.131599999999956,17709.0,0.16766467065868262,COMPLETE,2026-05-13 11:06:14.174522,2026-05-13 11:07:47.626597
31,-2.923798490620028,128,0.09341261982911885,0.003956355227090743,0.9738242650686947,0.9490130177756966,0.0001918574218513038,16,512,0.8669334301306335,0.9569642857142857,8867.00000000001,-0.18251708428245897,82,optuna_ppo_t031,-0.1132999999999991,1446.0,0.43902439024390244,COMPLETE,2026-05-13 11:07:47.642593,2026-05-13 11:09:19.072203
32,-13.724668833120502,128,0.07342991021878108,0.09794002265431866,0.9858821906576947,0.953786879305659,0.00025152066649516665,14,512,0.8619552719933338,0.9461904761904761,4807.000000000061,-0.497204936188157,274,optuna_ppo_t032,-0.5192999999999939,5043.0,0.3194444444444444,COMPLETE,2026-05-13 11:09:19.085716,2026-05-13 11:10:48.259914
33,-35.85767902502335,128,0.11286301236903684,0.0008361555863372881,0.9735560203284767,0.9394423311733142,4.156120191452546e-05,19,512,0.9458857165696413,0.1700595238095238,-6317.000000000264,-1.714108071444754,940,optuna_ppo_t033,-1.6317000000000264,16517.0,0.10548523206751055,COMPLETE,2026-05-13 11:10:48.273432,2026-05-13 11:12:21.835803
34,-20.00415505589479,128,0.20203256705693873,0.0001942523533899394,0.8226221860356648,0.9298420561269107,7.104643907955731e-05,16,512,0.7722497523739648,0.7879166666666667,2249.0000000000987,-0.7525852585258413,385,optuna_ppo_t034,-0.7750999999999901,7071.0,0.21649484536082475,COMPLETE,2026-05-13 11:12:21.848806,2026-05-13 11:13:55.295136
35,-9.627502614169227,64,0.16747716514974553,0.008053842906684027,0.9533859673109276,0.9370163255012603,0.00017795223817793603,11,256,0.5793390813812215,0.9698809523809524,6323.000000000121,-0.32540275258721196,197,optuna_ppo_t035,-0.3676999999999879,4153.0,0.41025641025641024,COMPLETE,2026-05-13 11:13:55.308149,2026-05-13 11:15:32.264494
36,-22.522892458618546,32,0.10196018645217444,0.003317588133517752,0.9800977630512278,0.9541264090217263,0.00011946100735969735,14,512,0.9381193368826246,0.8451190476190477,-685.0000000000489,-1.0812285070556207,514,optuna_ppo_t036,-1.068500000000005,9667.0,0.22545454545454546,COMPLETE,2026-05-13 11:15:32.276514,2026-05-13 11:17:53.493015
37,-7.67493437052003,128,0.1347399924634535,0.0008399433367891538,0.9890760718630036,0.9127150080772534,0.0005056698203339346,8,512,0.8592768407338787,0.99625,6717.00000000004,-0.34243759177679467,100,optuna_ppo_t037,-0.328299999999996,2018.0,0.39655172413793105,COMPLETE,2026-05-13 11:17:53.508027,2026-05-13 11:19:14.488598
38,-15.575060244665321,128,0.07148819671588168,0.00015838134223901136,0.8035021736357839,0.9506040861005083,0.0007294225047586006,18,1024,0.781249392244503,0.45458333333333334,3301.9999999998017,-0.6496923403352635,377,optuna_ppo_t038,-0.6698000000000198,6583.0,0.3263157894736842,COMPLETE,2026-05-13 11:19:14.500595,2026-05-13 11:20:48.072266
39,-58.21402403380262,32,0.05100296184017142,0.03178410859472677,0.962160381282005,0.9678172617082688,0.0014203592445185707,16,256,0.8613910996628441,0.5773809523809523,-38771.99999999988,-6.520717642033386,2476,optuna_ppo_t039,-4.877199999999989,47249.0,0.09070294784580499,COMPLETE,2026-05-13 11:20:48.086260,2026-05-13 11:23:16.132667
